SN,고객번호,우편번호,시도,시군구,동단위,나이,고객등급,고객등급코드,가입일자,가입기간, 수신 총잔액 , 신용대출한도 ,신용등급, 담보대출한도 ,년간 환전액,분기당 해외 송금액,스마트뱅킹 사용여부,폰뱅킹사용여부, 월소득 예상금액 ,인터넷뱅킹사용횟수, 인터넷뱅킹 사용 금액 ,가입점,교육정도코드,교육정도,종교코드,종교,직업종류코드,직업종류,혼인여부,주택소유여부
B1,10012231,28795,경남,진주시,옥봉동,50,골드,2,2002-06-11,16,"13,601,564","41,300,000",3,"82,600,000",0,0,n,n,"8,009,167",0, - ,콜센터,2,고졸,4,카톨릭,3,자영업,이혼,전세
B2,10012598,1189,서울,강서구,가양3동,70,패밀리,0,2002-10-27,15,"979,118","64,600,000",7,"129,200,000",0,0,n,n,"10,000",21,"19,800,000",pb센터,9,NULL,9,원불교,0,NULL,사실혼,자가소유
B3,10013649,6436,서울,은평구,역촌1동,40,실버,1,2006-01-18,12,"5,501,809","2,300,000",10,"4,600,000",0,0,n,y,"10,833",20,"20,772,000",콜센터,4,학사,2,기독교,0,NULL,재혼,자가소유
B4,10014221,19837,경기,고양시,고양동,43,패밀리,0,2007-06-17,11,"609,622","13,900,000",7,"27,800,000",0,0,n,n,"1,011,667",0, - ,영업점,2,고졸,1,불교,7,학생,사별,전세
B5,10015665,22597,경기,수원시,고색동,23,실버,1,2005-10-10,12,"3,885,329","37,700,000",7,"75,400,000",0,0,y,n,"12,500",16,"13,536,000",영업점,3,대퇴,1,불교,0,NULL,재혼,월세
B6,10016386,20218,경기,고양시,일산4동,67,골드,2,2002-08-13,15,"23,992,801","3,500,000",8,"7,000,000",0,0,n,n,"2,589,247",29,"5,736,000",영업점,2,고졸,3,무교,7,학생,기혼,가족소유
B7,10016675,19877,경기,고양시,성사동,66,플래티늄,3,2008-08-08,9,"185,878,354","39,400,000",6,"78,800,000",0,0,n,n,"13,333",0, - ,영업점,4,학사,2,기독교,0,NULL,사실혼,월세
B8,10017321,2375,서울,금천구,독산1동,47,패밀리,0,2006-04-18,12,"274,489","17,600,000",8,"35,200,000",0,0,y,y,"14,167",0, - ,영업점,5,석사,2,기독교,8,무직,사별,월세
B9,10018757,6499,서울,은평구,증산동,79,실버,1,2007-10-10,10,"1,606,685","436,800,000",3,"873,600,000",0,0,n,n,"15,833",0, - ,pb센터,3,대퇴,1,불교,8,무직,기혼,자가소유
B10,10018880,18149,강원,춘천시,근화동,45,패밀리,0,2005-03-25,13,"868,878","34,900,000",4,"69,800,000",0,0,y,n,"3,016,667",0, - ,영업점,5,석사,4,카톨릭,1,회사원,재혼,가족소유
